Epoch: 39 | lr:0.0001000 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 40 | lr:0.0001000 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 40 | Validation: Loss: 3.5068972855307425e-05 mIOU: [1. 0.] mAP: [1. 0.]
Epoch: 41 | lr:0.0001000 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 42 | lr:0.0001000 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 43 | lr:0.0001000 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 44 | lr:0.0001000 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 45 | lr:0.0001000 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 45 | Validation: Loss: 1.9039145341334266e-05 mIOU: [1. 0.] mAP: [1. 0.]
Epoch: 46 | lr:0.0001000 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 47 | lr:0.0001000 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 48 | lr:0.0001000 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 49 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 50 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 50 | Validation: Loss: 1.2915749708294503e-05 mIOU: [1. 0.] mAP: [1. 0.]
Epoch: 51 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 52 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 53 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 54 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 55 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 55 | Validation: Loss: 1.1795392648699427e-05 mIOU: [1. 0.] mAP: [1. 0.]
Epoch: 56 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 57 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 58 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 59 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 60 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 60 | Validation: Loss: 1.0279874238351892e-05 mIOU: [1. 0.] mAP: [1. 0.]
Epoch: 61 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 62 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 63 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 64 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 65 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 65 | Validation: Loss: 8.444626525618203e-06 mIOU: [1. 0.] mAP: [1. 0.]
Epoch: 66 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 67 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 68 | lr:0.0000100 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 69 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 70 | lr:0.0000010 | Loss: 0.0000 | topview Loss: 0.0000 | transform_topview Loss: 0.0000 | transform Loss: 0.0000
Epoch: 70 | Validation: Loss: 7.1884543948337e-06 mIOU: [1. 0.] mAP: [1. 0.]
